OID_,giga_school_id,latitude,longitude,hex8,percent_3g,percent_4g,percent_2g,Included,Predicted,StdError
39,G_NGA_008363,6.02179,7.01138,88588b2331fffff,38.53,33.7,27.77,Yes,33.6361171,0.036700463
40,G_NGA_008420,6.264194,6.819403,88588bab21fffff,39.38,35,25.61,Yes,35.02619499,0.044191105
41,G_NGA_008611,6.040471,6.998388,88588b2301fffff,38.51,33.95,27.54,Yes,33.93296546,0.039110751
42,G_NGA_009128,6.010346,6.856435,88588b394bfffff,38.49,33.76,27.75,Yes,33.72828558,0.036266456
44,G_NGA_009572,6.024209,6.88507,88588b3861fffff,38.57,33.62,27.81,Yes,33.71451356,0.038972888
45,G_NGA_009956,6.149853,6.831905,88588b041dfffff,39.93,33.92,26.15,Yes,33.88737823,0.026671788
46,G_NGA_010103,6.143932,6.779423,88588b0731fffff,40.55,32.82,26.62,Yes,32.96511889,0.022961444
80,G_NGA_017060,6.94987,7.65589,8858d4c907fffff,40.33,34.46,25.21,Yes,34.46194571,0.046985371
166,G_NGA_033963,6.128486667,7.500271667,8858d61949fffff,39.25,32.81,27.94,Yes,32.76541706,0.041896882
167,G_NGA_034089,6.493544,7.504991,8858d6988bfffff,40.02,33.52,26.46,Yes,33.49709778,0.029911022
168,G_NGA_034265,6.4727483,7.5907667,8858d681c9fffff,39.8,33.95,26.25,Yes,33.9731967,0.022699508
169,G_NGA_034287,6.478293,7.48119,8858d698e7fffff,40.36,33.21,26.43,Yes,33.35322572,0.02829355
170,G_NGA_034855,6.270557,7.194654,8858d6d819fffff,39.6,33.51,26.89,Yes,33.53681906,0.044393501
171,G_NGA_035344,6.961121667,7.394663333,88588931c1fffff,40.44,34.65,24.9,Yes,34.6347385,0.035842149
172,G_NGA_035350,6.908822,7.438257,885889235bfffff,40.36,34.2,25.43,Yes,34.23785909,0.037284159
173,G_NGA_035406,6.929895,7.344571667,8858893a1bfffff,40.53,34.6,24.87,Yes,34.5607871,0.052411761
174,G_NGA_035483,6.745868333,7.736608333,8858d45811fffff,40.01,34.45,25.54,Yes,34.45722555,0.049744345
175,G_NGA_035637,6.342205,7.586008333,8858d688b5fffff,39.67,33.57,26.76,Yes,33.60377241,0.038427863
176,G_NGA_036138,6.818407,7.388113,8858892a41fffff,40.46,34.22,25.32,Yes,34.20274728,0.033962965
177,G_NGA_036311,6.852886667,7.37681,885889388dfffff,40.43,34.3,25.28,Yes,34.21956187,0.027815043
178,G_NGA_036480,6.16347,7.288075,8858d6caa9fffff,38.98,33.39,27.63,Yes,33.30401546,0.051889789
179,G_NGA_036517,6.805523,7.56421,8858892e1dfffff,40.3,34.14,25.56,Yes,34.15306045,0.035697478
180,G_NGA_036644,6.893038333,7.506775,88588922a9fffff,40.29,34.2,25.5,Yes,34.16416967,0.038135283
181,G_NGA_036886,6.416785,7.469088333,8858d68b43fffff,40.09,33.41,26.5,Yes,33.35345496,0.046973571
182,G_NGA_037064,6.7517183,6.9429783,885889446dfffff,40.05,35.37,24.58,Yes,35.39038719,0.051701567
316,G_NGA_008765,6.140247,7.098906,88588b3463fffff,38.74,33.7,27.56,Yes,33.70134243,0.045021682
317,G_NGA_008877,6.198022,7.05186,88588badb1fffff,38.78,34.06,27.16,Yes,34.09519537,0.028706333
318,G_NGA_008998,6.155123,6.892526,88588b3367fffff,38.92,34.73,26.34,Yes,34.71530052,0.039330849
319,G_NGA_009019,6.18955,6.9817,88588b32c5fffff,38.88,34.6,26.52,Yes,34.64042167,0.034762375
320,G_NGA_009081,6.029878,6.832361,88588b3b67fffff,38.66,33.77,27.57,Yes,33.80362715,0.036722708
321,G_NGA_009183,6.118151,6.836232,88588b0437fffff,38.96,34.12,26.92,Yes,34.04300531,0.03231323
